Date : 2024-01-22 18:36:25
Directory : /Users/yangyueHelen/Desktop/material-ui-nextjs
Total : 99 files,  11908 codes, 110 comments, 446 blanks, all 12464 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          2 |      6,073 |          0 |          2 |      6,075 |
| JavaScript         |         85 |      5,600 |         73 |        398 |      6,071 |
| SQL                |          7 |        140 |         31 |         17 |        188 |
| Prisma             |          1 |         56 |          2 |         10 |         68 |
| Markdown           |          1 |         18 |          0 |         13 |         31 |
| XML                |          1 |         11 |          0 |          1 |         12 |
| JSON with Comments |          1 |          7 |          0 |          1 |          8 |
| Properties         |          1 |          3 |          4 |          4 |         11 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                               | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                  |         99 |     11,908 |        110 |        446 |     12,464 |
| . (Files)                                                                                                                          |          6 |      6,129 |          6 |         23 |      6,158 |
| prisma                                                                                                                             |          8 |        196 |         33 |         27 |        256 |
| prisma (Files)                                                                                                                     |          1 |         56 |          2 |         10 |         68 |
| prisma/migrations                                                                                                                  |          7 |        140 |         31 |         17 |        188 |
| prisma/migrations/20231124083914_new_test                                                                                          |          1 |         35 |          5 |          6 |         46 |
| prisma/migrations/20231126162328_optional_core_and_dashboard                                                                       |          1 |         16 |          7 |          1 |         24 |
| prisma/migrations/20231130061708_core_and_dashboard_on_delete_cascade                                                              |          1 |         16 |          1 |          1 |         18 |
| prisma/migrations/20231208083455_add_user                                                                                          |          1 |         25 |          8 |          3 |         36 |
| prisma/migrations/20231211064528_refine_user                                                                                       |          1 |         20 |          8 |          2 |         30 |
| prisma/migrations/20231211072501_flow_edge_on_delete_cascade                                                                       |          1 |         14 |          1 |          2 |         17 |
| prisma/migrations/20231213134419_edge_on_delete_cascade                                                                            |          1 |         14 |          1 |          2 |         17 |
| public                                                                                                                             |          1 |         11 |          0 |          1 |         12 |
| public/images                                                                                                                      |          1 |         11 |          0 |          1 |         12 |
| src                                                                                                                                |         84 |      5,572 |         71 |        395 |      6,038 |
| src (Files)                                                                                                                        |          3 |         31 |          3 |          7 |         41 |
| src/app                                                                                                                            |         30 |        472 |         14 |         80 |        566 |
| src/app (Files)                                                                                                                    |          2 |         23 |          0 |          5 |         28 |
| src/app/(dashboard)                                                                                                                |         20 |        228 |          5 |         56 |        289 |
| src/app/(dashboard) (Files)                                                                                                        |          1 |         90 |          3 |          6 |         99 |
| src/app/(dashboard)/apps                                                                                                           |          3 |         21 |          0 |          8 |         29 |
| src/app/(dashboard)/apps (Files)                                                                                                   |          1 |          6 |          0 |          3 |          9 |
| src/app/(dashboard)/apps/create                                                                                                    |          1 |          6 |          0 |          3 |          9 |
| src/app/(dashboard)/apps/edit                                                                                                      |          1 |          9 |          0 |          2 |         11 |
| src/app/(dashboard)/apps/edit/[id]                                                                                                 |          1 |          9 |          0 |          2 |         11 |
| src/app/(dashboard)/cores                                                                                                          |          3 |         21 |          0 |          8 |         29 |
| src/app/(dashboard)/cores (Files)                                                                                                  |          1 |          6 |          0 |          3 |          9 |
| src/app/(dashboard)/cores/create                                                                                                   |          1 |          6 |          0 |          3 |          9 |
| src/app/(dashboard)/cores/edit                                                                                                     |          1 |          9 |          0 |          2 |         11 |
| src/app/(dashboard)/cores/edit/[id]                                                                                                |          1 |          9 |          0 |          2 |         11 |
| src/app/(dashboard)/edges                                                                                                          |          3 |         21 |          0 |          8 |         29 |
| src/app/(dashboard)/edges (Files)                                                                                                  |          1 |          6 |          0 |          3 |          9 |
| src/app/(dashboard)/edges/create                                                                                                   |          1 |          6 |          0 |          3 |          9 |
| src/app/(dashboard)/edges/edit                                                                                                     |          1 |          9 |          0 |          2 |         11 |
| src/app/(dashboard)/edges/edit/[id]                                                                                                |          1 |          9 |          0 |          2 |         11 |
| src/app/(dashboard)/flows                                                                                                          |          4 |         33 |          2 |         10 |         45 |
| src/app/(dashboard)/flows (Files)                                                                                                  |          1 |          5 |          0 |          2 |          7 |
| src/app/(dashboard)/flows/[id]                                                                                                     |          2 |         22 |          2 |          6 |         30 |
| src/app/(dashboard)/flows/create                                                                                                   |          1 |          6 |          0 |          2 |          8 |
| src/app/(dashboard)/tenants                                                                                                        |          3 |         21 |          0 |          8 |         29 |
| src/app/(dashboard)/tenants (Files)                                                                                                |          1 |          6 |          0 |          3 |          9 |
| src/app/(dashboard)/tenants/create                                                                                                 |          1 |          6 |          0 |          3 |          9 |
| src/app/(dashboard)/tenants/edit                                                                                                   |          1 |          9 |          0 |          2 |         11 |
| src/app/(dashboard)/tenants/edit/[name]                                                                                            |          1 |          9 |          0 |          2 |         11 |
| src/app/(dashboard)/users                                                                                                          |          3 |         21 |          0 |          8 |         29 |
| src/app/(dashboard)/users (Files)                                                                                                  |          1 |          6 |          0 |          3 |          9 |
| src/app/(dashboard)/users/create                                                                                                   |          1 |          6 |          0 |          3 |          9 |
| src/app/(dashboard)/users/edit                                                                                                     |          1 |          9 |          0 |          2 |         11 |
| src/app/(dashboard)/users/edit/[name]                                                                                              |          1 |          9 |          0 |          2 |         11 |
| src/app/(no-layout)                                                                                                                |          1 |          6 |          0 |          3 |          9 |
| src/app/(no-layout)/login                                                                                                          |          1 |          6 |          0 |          3 |          9 |
| src/app/api                                                                                                                        |          7 |        215 |          9 |         16 |        240 |
| src/app/api/cores                                                                                                                  |          1 |         16 |          1 |          2 |         19 |
| src/app/api/edges                                                                                                                  |          2 |         36 |          3 |          5 |         44 |
| src/app/api/edges (Files)                                                                                                          |          1 |         23 |          2 |          4 |         29 |
| src/app/api/edges/[id]                                                                                                             |          1 |         13 |          1 |          1 |         15 |
| src/app/api/flows                                                                                                                  |          3 |        140 |          4 |          7 |        151 |
| src/app/api/flows (Files)                                                                                                          |          1 |         21 |          1 |          2 |         24 |
| src/app/api/flows/[fid]                                                                                                            |          1 |         57 |          2 |          3 |         62 |
| src/app/api/flows/create                                                                                                           |          1 |         62 |          1 |          2 |         65 |
| src/app/api/user                                                                                                                   |          1 |         23 |          1 |          2 |         26 |
| src/app/api/user/flows                                                                                                             |          1 |         23 |          1 |          2 |         26 |
| src/app/api/user/flows/[uid]                                                                                                       |          1 |         23 |          1 |          2 |         26 |
| src/components                                                                                                                     |         47 |      4,736 |         21 |        271 |      5,028 |
| src/components (Files)                                                                                                             |          2 |         61 |          0 |          6 |         67 |
| src/components/FreeFlowCore                                                                                                        |          1 |         80 |          0 |          6 |         86 |
| src/components/FreeFlowDashboard                                                                                                   |          1 |         80 |          0 |          6 |         86 |
| src/components/FreeFlowEdge                                                                                                        |          3 |        207 |         10 |         19 |        236 |
| src/components/Home                                                                                                                |         27 |      3,297 |          8 |        165 |      3,470 |
| src/components/Home (Files)                                                                                                        |          2 |        150 |          0 |         11 |        161 |
| src/components/Home/AppDashboard                                                                                                   |          3 |        475 |          0 |         18 |        493 |
| src/components/Home/CoreDashboard                                                                                                  |          3 |        473 |          1 |         18 |        492 |
| src/components/Home/EdgeDashboard                                                                                                  |          3 |        478 |          0 |         17 |        495 |
| src/components/Home/FlowDashboard                                                                                                  |          3 |        485 |          2 |         32 |        519 |
| src/components/Home/SideNav                                                                                                        |          7 |        350 |          5 |         33 |        388 |
| src/components/Home/TenantDashboard                                                                                                |          3 |        424 |          0 |         17 |        441 |
| src/components/Home/UserDashboard                                                                                                  |          3 |        462 |          0 |         19 |        481 |
| src/components/Login                                                                                                               |          1 |        175 |          0 |         11 |        186 |
